debitur_id,skor_kredit_internal,subsegmen_properti,wilayah_agunan,nilai_agunan_awal,nilai_agunan_kini,plafon_pinjaman,ltv_awal,ltv_kini,tenor_bulan,pendapatan_bulanan,dti_ratio,jumlah_tanggungan,status_pekerjaan,jumlah_tunggakan_historis,utilisasi_kartu_kredit,metode_pembayaran,usia_bangunan_tahun,jenis_sertifikat,status_risiko,flag_gagal_bayar,y_pred_proba (sigmoid),"y_pred (dibulatkan, threshold=0.5)",cluster,flag_skor_kredit,flag_utilisasi,flag_pendapatan
PBI-000001,700,Ruko-Komersial,Bekasi,1623000000,1141000000.0,1230000000,0.757855823,1.078001753,120,48500000.0,0.211340206,3,Wiraswasta,1,34.7,Transfer Manual,3.0,HGB,Lancar,0,0.2500311556448053,0,1,0,0,0
PBI-000002,662,Rumah Tapak,Bogor,1511000000,1496000000.0,1188000000,0.786234282,0.794117647,240,21200000.0,0.233490566,3,Karyawan Tetap,3,61.7,Transfer Manual,13.0,SHM,Lancar,0,0.36436431262403607,0,0,0,1,1
PBI-000003,696,Tanah Kavling,Depok,432000000,427000000.0,332000000,0.768518519,0.777517564,120,32700000.0,0.084607543,2,Karyawan Tetap,1,100.0,Transfer Manual,29.0,SHM,Lancar,0,0.17776015622215618,0,0,0,1,0
PBI-000004,843,Ruko-Komersial,Tangerang (BSD/Serpong),2574000000,2001000000.0,2178000000,0.846153846,1.088455772,120,30100000.0,0.602990033,2,Karyawan Tetap,1,42.8,Auto-Debit,28.0,SHM,Lancar,0,0.1919513513743666,0,0,0,0,0
PBI-000005,500,Rumah Tapak,Jakarta Selatan,1376000000,1331000000.0,1115000000,0.810319767,0.837716003,84,22200000.0,0.597919348,3,Karyawan Tetap,2,89.3,Auto-Debit,,SHM,Menunggak,1,0.9327654794255711,1,0,1,1,1
PBI-000006,648,Apartemen,Jakarta Selatan,642000000,628000000.0,454000000,0.707165109,0.722929936,180,25700000.0,0.098140942,2,Wiraswasta,0,0.0,Virtual Account,25.0,HGB,Lancar,0,0.0013276768178802855,0,1,1,0,1
PBI-000007,785,Rumah Tapak,Jakarta Selatan,1184000000,,848000000,0.716216216,#DIV/0!,240,33400000.0,0.105788423,1,Karyawan Tetap,0,30.4,Virtual Account,7.0,SHM,Lancar,0,0.0012089529554620108,0,0,0,0,0
PBI-000008,686,Apartemen,Bogor,1075000000,1046000000.0,828000000,0.770232558,0.791586998,120,,#DIV/0!,4,Karyawan Tetap,3,57.4,Auto-Debit,16.0,SHM,Lancar,0,0.257312978469306,0,0,0,1,1
PBI-000009,762,Tanah Kavling,Tangerang (BSD/Serpong),420000000,297000000.0,334000000,0.795238095,1.124579125,180,50000000.0,0.037111111,3,Wiraswasta,0,41.7,Auto-Debit,26.0,SHM,Lancar,0,0.042125686009493984,0,0,0,0,0
PBI-000010,607,Apartemen,Depok,559000000,532000000.0,416000000,0.744186047,0.781954887,180,31900000.0,0.072448624,3,Wiraswasta,1,58.9,Transfer Manual,26.0,HGB,Lancar,0,0.14190884606641593,0,1,1,1,0
PBI-000011,554,Apartemen,Jakarta Selatan,984000000,968000000.0,788000000,0.800813008,0.814049587,120,16300000.0,0.402862986,2,Karyawan Tetap,1,20.3,Auto-Debit,12.0,SHM,Lancar,0,0.226129946893752,0,0,1,0,1
